02/19/2024,BA ELECTRONIC PAYMENT,307.28
02/10/2024,COSTCO WHSE #0009 ALOHA OR,-699.99
02/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
Posted Date,Payee,Amount
01/21/2025,WWW COSTCO COM 800-955-2292 WA,-79.99
01/21/2025,BA ELECTRONIC PAYMENT,254.55
01/14/2025,COSTCO WHSE #0009 ALOHA OR,-339.85
01/14/2025,COSTCO WHSE #0009 ALOHA OR,29.99
01/14/2025,COSTCO WHSE #0009 ALOHA OR,-1.99
01/10/2025,COSTCO GAS #0002 PORTLAND OR,-37.14
01/10/2025,COSTCO WHSE #0002 PORTLAND OR,-80.97
01/10/2025,COSTCO WHSE #0002 PORTLAND OR,-2.49
01/06/2025,COSTCO GAS #0106 SEATTLE WA,-42.91
01/03/2025,COSTCO GAS #0001 SEATTLE WA,-33.57
01/03/2025,COSTCO WHSE #0001 SEATTLE WA,-78.57
12/31/2024,COSTCO GAS #0006 TUKWILA WA,-44.78
12/31/2024,COSTCO WHSE #0006 TUKWILA WA,-67.44
12/28/2024,SAFEWAY FUEL1589 LEAVENWORTH WA,-30.56
Posted Date,Payee,Amount
07/12/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,34.90
07/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
Posted Date,Payee,Amount
06/19/2024,BA ELECTRONIC PAYMENT,250.80
06/19/2024,BA ELECTRONIC PAYMENT,888.25
06/12/2024,XFINITY MOBILE 888-936-4968 PA,-54.18
06/10/2024,COMCAST CABLE COMM 800-COMCAST OR,-30.00
06/07/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-38.00
06/04/2024,PORTLAND GENERAL ELECTRIC800-542-8818 OR,-29.92
06/03/2024,COSTCO WHSE #0009 ALOHA OR,-44.55
05/28/2024,WL *Steam Purchase 425-9522985 WA,-7.99
05/27/2024,76 - N & S OIL LLC PORTLAND OR,-38.17
05/27/2024,STEAMGAMES.COM 4259522985425-8899642 WA,-7.99
Posted Date,Payee,Amount
03/19/2024,BA ELECTRONIC PAYMENT,1111.66
02/29/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-37.90
02/27/2024,COSTCO WHSE #0009 ALOHA OR,-22.88
Posted Date,Payee,Amount
05/23/2024,GOOGLE *Xavier Liard 855-836-3987 CA,-3.99
05/21/2024,SAFEWAY #1073 BEAVERTON OR,-36.60
05/20/2024,BA ELECTRONIC PAYMENT,434.63
05/18/2024,COSTCO WHSE #0009 ALOHA OR,-82.44
05/13/2024,XFINITY MOBILE 888-936-4968 PA,-38.18
05/10/2024,COSTCO WHSE #0009 ALOHA OR,-52.33
05/10/2024,COMCAST CABLE COMM 800-COMCAST OR,-25.00
05/08/2024,PORTLAND GENERAL ELECTRIC800-542-8818 OR,-54.01
05/06/2024,COSTCO WHSE #0009 ALOHA OR,-428.26
05/06/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
04/29/2024,COSTCO GAS #0009 ALOHA OR,-40.95
04/29/2024,COSTCO WHSE #0009 ALOHA OR,-91.59
Posted Date,Payee,Amount
11/18/2024,COSTCO GAS #0002 PORTLAND OR,-34.08
11/11/2024,COSTCO WHSE #0772 VANCOUVER WA,-184.39
11/01/2024,COSTCO GAS #0772 VANCOUVER WA,-30.73
11/01/2024,COSTCO WHSE #0772 VANCOUVER WA,-97.90
11/01/2024,COSTCO WHSE #0772 VANCOUVER WA,-6.29
Posted Date,Payee,Amount
10/23/2024,COSTCO GAS #0009 ALOHA OR,-43.86
10/21/2024,BA ELECTRONIC PAYMENT,452.10
10/21/2024,BA ELECTRONIC PAYMENT,452.10
10/18/2024,COSTCO WHSE #0009 ALOHA OR,-223.46
10/10/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,34.90
10/07/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
10/05/2024,ASIAN FOOD CENTER BEAVERTON OR,-27.97
10/04/2024,COSTCO GAS #0009 ALOHA OR,-37.30
10/04/2024,COSTCO WHSE #0009 ALOHA OR,-309.66
10/04/2024,COSTCO WHSE #0009 ALOHA OR,15.99
09/26/2024,BA ELECTRONIC PAYMENT,452.10
Posted Date,Payee,Amount
09/23/2024,COSTCO GAS #0002 PORTLAND OR,-23.56
09/23/2024,COSTCO WHSE #0002 PORTLAND OR,-150.15
09/23/2024,COSTCO WHSE #0002 PORTLAND OR,-51.94
09/23/2024,COSTCO WHSE #0002 PORTLAND OR,19.99
09/23/2024,WWW COSTCO COM 800-955-2292 WA,39.99
09/21/2024,COSTCO GAS #0009 ALOHA OR,-38.62
09/19/2024,COSTCO GAS #1703 RIDGEFIELD WA,-17.99
09/16/2024,COSTCO GAS #0009 ALOHA OR,-34.48
09/16/2024,COSTCO WHSE #0009 ALOHA OR,-245.33
09/16/2024,COSTCO WHSE #0009 ALOHA OR,49.99
09/12/2024,BA ELECTRONIC PAYMENT,242.96
09/07/2024,COSTCO GAS #0009 ALOHA OR,-27.18
09/07/2024,COSTCO WHSE #0009 ALOHA OR,-140.89
09/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,-34.90
09/04/2024,WWW COSTCO COM 800-955-2292 WA,-39.99
